model,role,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,test_macro_average_precision_ovr,test_macro_roc_auc_ovr,test_log_loss,cpu_batch1_median_ms,cpu_batch1_p95_ms,feature_extraction_seconds,head_fit_seconds
vit,predeclared primary,0.9583333333333334,0.958041958041958,0.9791666666666666,0.9791304347826086,1.0,1.0,0.0836275544806492,69.14016650989652,71.52729103690945,8.297698374954052,0.00859062501695007
resnet50,predeclared CNN baseline,0.9583333333333334,0.9572727272727273,0.875,0.8731521739130435,0.9659608620546121,0.986111111111111,0.28757130433018485,38.296229438856244,40.06439546355978,11.119634540984407,0.021567624993622303
