case_id,scope,expected_label,classifier_prediction,policy_verdict,policy_primary_label,policy_score,detector_enabled,ocr_enabled,explanation_enabled,detections,ocr_tokens,classification_ms,detection_ms,ocr_ms,explanation_ms,total_ms,source_path,output_dir
formal_safe,formal grouped test,safe,safe,APPROVE,safe,0.997345992111643,False,True,False,0,3,81.90304203890264,0.0,114.46358298417181,0.0,210.98516695201397,data/capstone_dataset/test/safe/safe-77c35d499df2417f.jpg,outputs/demo_cases/formal_safe
formal_firearms,formal grouped test,firearms,firearms,BLOCK,firearms,0.9990683797771868,True,False,True,3,0,81.93729200866073,3514.2770840320736,0.0,1124.3401659885421,4973.39433291927,data/capstone_dataset/test/firearms/firearms-08b5814b3661e772.jpg,outputs/demo_cases/formal_firearms
formal_explosives,formal grouped test,explosives,explosives,BLOCK,explosives,0.9998087301245722,True,False,False,3,0,80.65958390943706,3308.9009169489145,0.0,0.0,3393.345749936998,data/capstone_dataset/test/explosives/explosives-808678dfe3e2b9d6.jpg,outputs/demo_cases/formal_explosives
formal_financial_promotion,formal grouped test,financial_promotion,financial_promotion,REVIEW,financial_promotion,0.9992061362760161,False,True,True,0,17,77.52329192589968,0.0,180.41729205287993,1176.0995419463143,1437.118750065565,data/capstone_dataset/test/financial_promotion/financial_promotion-ff884f7cd86b4295.jpg,outputs/demo_cases/formal_financial_promotion
formal_known_failure,formal grouped test failure,explosives,firearms,REVIEW,firearms,0.8899755717309932,True,False,True,5,0,86.940124980174,3358.3700410090387,0.0,1220.0798750855029,4668.774417019449,data/capstone_dataset/test/explosives/explosives-a847a50b677d3214.jpg,outputs/demo_cases/formal_known_failure
external_safe_domain_shift,external Wikimedia diagnostic,safe,explosives,BLOCK,explosives,0.45302211047282737,True,True,True,3,14,83.83750007487833,4542.982417042367,245.04374992102385,1248.0308749945834,6125.0079170567915,data/wikimedia_pilot/train/safe/safe_train_c456321d7b18.jpg,outputs/demo_cases/external_safe_domain_shift
