model,role,backbone,backbone_revision,feature_dim,total_backbone_parameters,trainable_backbone_parameters,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,test_macro_average_precision_ovr,cpu_batch1_median_ms,cpu_batch1_p95_ms,head_fit_seconds,artifact_path,artifact_sha256
vit,predeclared primary,vit_base_patch16_224.augreg2_in21k_ft_in1k,063c6c38a5d8510b2e57df480445e94b231dad2c,768,85798656,0,0.9583333333333334,0.958041958041958,0.9791666666666666,0.9791304347826086,1.0,69.14016650989652,71.52729103690945,0.00859062501695007,models/vit_policy_head.joblib,3473f8f6817a007fe4ede49e10f571a6b1942c468c09dfebec5037fa5da1c192
resnet50,predeclared CNN baseline,resnet50.a1_in1k,767268603ca0cb0bfe326fa87277f19c419566ef,2048,23508032,0,0.9583333333333334,0.9572727272727273,0.875,0.8731521739130435,0.9659608620546121,38.296229438856244,40.06439546355978,0.021567624993622303,models/resnet50_policy_head.joblib,4690c0fc2c349811dfb14d8d450255bb2b54244a0a7e72a8a254b6893ae381e0
